Kline open time,Open price,high,low,close,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,timestamp,short_ma,long_ma,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr
2024-12-01 20:00:00-03:00,586173.0,590168.0,584081.0,587688.0,45.84716,2024-12-01 23:59:59.999000-03:00,26909095.40402,8833,23.35834,13708256.85566,2024-12-01 20:00:00-03:00,583628.4285714285,,,,,588867.3040747783,585688.0,582508.6959252217,
2024-12-02 00:00:00-03:00,587383.0,588021.0,579155.0,580180.0,29.49815,2024-12-02 03:59:59.999000-03:00,17182085.78158,5135,12.25915,7147403.22746,2024-12-02 00:00:00-03:00,584095.8571428572,,,,,590328.7600369534,585156.0,579983.2399630466,
2024-12-02 04:00:00-03:00,580301.0,581298.0,571117.0,572266.0,52.21577,2024-12-02 07:59:59.999000-03:00,30004906.55853,8402,22.13188,12715788.97257,2024-12-02 04:00:00-03:00,582983.7142857143,,42.158982015911576,,,593658.279639554,582363.6,571068.920360446,5470.571428571428
2024-12-02 08:00:00-03:00,572156.0,588931.0,571613.0,585714.0,105.10104,2024-12-02 11:59:59.999000-03:00,60825611.50136,13377,49.37393,28604151.51877,2024-12-02 08:00:00-03:00,583394.2857142857,,56.271926243583316,,,593733.8572931875,582398.8,571063.7427068126,6316.816326530612
2024-12-02 12:00:00-03:00,585714.0,592300.0,572001.0,580896.0,123.06501,2024-12-02 15:59:59.999000-03:00,71975268.63129,17963,57.75138,33819402.71179,2024-12-02 12:00:00-03:00,582632.5714285715,,51.430266648116095,,,592056.1359823928,581348.8,570641.4640176073,7315.543731778425
2024-12-02 16:00:00-03:00,580801.0,585950.0,578500.0,579944.0,39.52937,2024-12-02 19:59:59.999000-03:00,22988947.27704,7818,21.07572,12260654.58335,2024-12-02 16:00:00-03:00,581833.4285714285,,50.50557564564188,,,588430.3142005347,579800.0,571169.6857994653,7325.14775093711
2024-12-02 20:00:00-03:00,579923.0,585999.0,579669.0,584118.0,31.59389,2024-12-02 23:59:59.999000-03:00,18394089.67904,7382,16.82623,9799232.46861,2024-12-02 20:00:00-03:00,581543.7142857143,,54.37857054018605,,,589904.3401681117,580587.6,571270.8598318882,7254.065768727317
2024-12-03 00:00:00-03:00,584089.0,585463.0,580256.0,580863.0,8.94285,2024-12-03 03:59:59.999000-03:00,5224000.1362,2872,3.64165,2127150.8022,2024-12-03 00:00:00-03:00,580568.7142857143,,51.025366278751626,,,586738.4508685134,582307.0,577875.5491314866,7107.846785246795
2024-12-03 04:00:00-03:00,580715.0,582081.0,576375.0,576625.0,18.32836,2024-12-03 07:59:59.999000-03:00,10625247.11763,3649,9.08781,5269399.6558,2024-12-03 04:00:00-03:00,580060.8571428572,581290.4285714285,46.964690371817795,,,585281.0837047851,580489.2,575697.3162952148,7007.714872014882
2024-12-03 08:00:00-03:00,576625.0,583412.0,571306.0,580851.0,99.72893,2024-12-03 11:59:59.999000-03:00,57457150.30459,16056,46.30002,26685677.42382,2024-12-03 08:00:00-03:00,581287.2857142857,581364.1428571428,51.140267467901204,,,585269.1618750134,580480.2,575691.2381249865,7371.87809544239
